region,sexe,mstat,age_grp,nbr_indv,mean_rev,mean_banked,empl_formel,proprio_titre,proprio_sans,locataire,autre_logement,assurance
GBEKE,Masculin,Marié(e) polygame,45-54,5,0,.80000001,0,.2,.60000002,.2,0,0
GBEKE,Masculin,Union libre,45-54,1,0,1,0,0,0,0,1,0
GBEKE,Masculin,Veuf(ve),45-54,2,0,.5,0,.5,.5,0,0,0
GBEKE,Féminin,Célibataire,45-54,14,0,.64285713,0,0,.5,.21428572,.2857143,.071428575
GBEKE,Féminin,Marié(e) monogame,45-54,56,12213.729,.51785713,.017857144,.10714286,.26785713,.35714287,.26785713,.053571429
GBEKE,Féminin,Marié(e) polygame,45-54,14,0,.21428572,0,.071428575,.42857143,.14285715,.35714287,.071428575
GBEKE,Féminin,Veuf(ve),45-54,17,44945.727,.47058824,0,.05882353,.11764706,.58823532,.23529412,0
GBEKE,Féminin,Divorcé(e),45-54,1,0,0,0,1,0,0,0,0
GBEKE,Masculin,Célibataire,55-64,6,26496.834,.66666669,0,.16666667,.33333334,.16666667,.33333334,.16666667
GBEKE,Masculin,Marié(e) monogame,55-64,42,17341.939,.76190478,.071428575,.23809524,.2857143,.35714287,.11904762,.071428575
GBEKE,Masculin,Marié(e) polygame,55-64,7,40952.383,.71428573,0,.14285715,.14285715,.14285715,.5714286,0
GBEKE,Masculin,Divorcé(e),55-64,2,52564.324,0,0,.5,0,.5,0,0
GBEKE,Féminin,Célibataire,55-64,14,0,.35714287,0,0,.35714287,.071428575,.5714286,0
GBEKE,Féminin,Marié(e) monogame,55-64,31,2516.1292,.38709676,0,.32258064,.19354838,.16129032,.32258064,.064516127
