,cluster,variable,type,moyenne,médiane,écart_type,min,max,modalité,modalité_pct
142,20,marital_status,catégorielle,,,,,,Célibataire,99.7946611909651
143,20,city,catégorielle,,,,,,DUEKOUE,22.381930184804926
144,20,milieu_resid,catégorielle,,,,,,Rural,100.0
145,20,region_name,catégorielle,,,,,,GUEMON,100.0
146,20,bancarise,catégorielle,,,,,,0,100.0
147,21,age_num,numérique,26.336546888694127,24.0,8.723368796129277,15.0,53.0,,
148,21,sex,catégorielle,,,,,,Masculin,100.0
149,21,marital_status,catégorielle,,,,,,Célibataire,99.12357581069237
150,21,city,catégorielle,,,,,,YAMOUSSOUKRO,1.9281332164767746
151,21,milieu_resid,catégorielle,,,,,,Rural,100.0
152,21,region_name,catégorielle,,,,,,NAWA,7.186678352322525
153,21,bancarise,catégorielle,,,,,,1,100.0
154,22,age_num,numérique,40.285240464344945,39.0,9.908630641831072,20.0,70.0,,
155,22,sex,catégorielle,,,,,,Féminin,100.0
156,22,marital_status,catégorielle,,,,,,Marié(e),86.56716417910447
157,22,city,catégorielle,,,,,,ABIDJAN,99.17081260364843
158,22,milieu_resid,catégorielle,,,,,,Urbain,100.0
159,22,region_name,catégorielle,,,,,,AUTONOME D'ABIDJAN,100.0
160,22,bancarise,catégorielle,,,,,,1,70.97844112769486
161,23,age_num,numérique,59.596774193548384,60.0,9.190998854994517,35.0,94.0,,
162,23,sex,catégorielle,,,,,,Féminin,100.0
163,23,marital_status,catégorielle,,,,,,Veuf(ve),63.261648745519715
164,23,city,catégorielle,,,,,,ABIDJAN,14.695340501792115
